>>> bench-local
# Wed, 21 Feb 2018 21:25:22 +0300
# kirr@deco.navytux.spb.ru (2401:5180:0:37::1 192.168.0.2)
# Linux deco 4.15.0-1-amd64 #1 SMP Debian 4.15.4-1 (2018-02-18) x86_64 GNU/Linux
# cpu: Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz
# cpu[0-3]: freq: intel_pstate/performance [2.60GHz - 2.60GHz]
# cpu[0-3]: idle: intel_idle/menu: POLL(0μs) C1(2μs) C1E(10μs) C3(70μs) C6(85μs) C7s(124μs) C8(200μs) C9(480μs) C10(890μs)
# cpu: WARNING: C-state exit-latency is max 890μs - up to that can add to networked and IPC request-reply latency
# sda: SanDisk X400 M.2  rev 0012  477G
# eth0: Intel Corporation Ethernet Connection I219-LM rev 21
# eth0: features: rx tx sg tso !ufo gso gro !lro rxvlan txvlan !ntuple rxhash ...
# eth0: coalesce: rxc: 3μs/0f/0μs-irq/0f-irq,  txc: 0μs/0f/0μs-irq/0f-irq
# eth0: up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# wlan0: Intel Corporation Wireless 8260 rev 3a
# wlan0: features: !rx !tx sg !tso !ufo gso gro !lro !rxvlan !txvlan !ntuple !rxhash ...
# wlan0: coalesce: rxc: ?,  txc: ?
# wlan0: down, speed=?, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# wlan0: WARNING: TSO not enabled - TCP latency with packets > MSS will be poor
# Python 2.7.14
# go version go1.10 linux/amd64
# sqlite 3.22.0 (py mod 2.6.0)
# mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
# neo             : v1.8.1-1540-gbf213313-dirty
# zodb            : 5.3.0-11-gde1f24ca0
# zeo             : 5.1.1-1-gfdcc2739
# mysqlclient     : 1.3.12
# wendelin.core   : v0.11-14-gc3cc8a9

*** cpu:

Benchmarkdeco/pystone 1 221192 pystone/s	# POLL·0 C1·4 C1E·9 C3·20 C6·38 C7s·0 C8·66 C9·0 C10·7
Benchmarkdeco/pystone 1 220919 pystone/s	# POLL·0 C1·0 C1E·17 C3·17 C6·44 C7s·0 C8·73 C9·0 C10·21
Benchmarkdeco/pystone 1 218077 pystone/s	# POLL·0 C1·4 C1E·11 C3·8 C6·45 C7s·0 C8·67 C9·0 C10·8
Benchmarkdeco/pystone 1 220642 pystone/s	# POLL·0 C1·0 C1E·3 C3·15 C6·46 C7s·0 C8·69 C9·0 C10·11
Benchmarkdeco/pystone 1 220592 pystone/s	# POLL·0 C1·2 C1E·6 C3·11 C6·35 C7s·0 C8·68 C9·0 C10·1
Benchmarkdeco/sha1/py/1K 618729	1.828 µs/op	# POLL·0 C1·0 C1E·6 C3·9 C6·46 C7s·0 C8·83 C9·0 C10·48
Benchmarkdeco/sha1/py/1K 618650	1.829 µs/op	# POLL·0 C1·0 C1E·5 C3·11 C6·51 C7s·0 C8·92 C9·0 C10·40
Benchmarkdeco/sha1/py/1K 617860	1.833 µs/op	# POLL·0 C1·1 C1E·10 C3·19 C6·65 C7s·0 C8·136 C9·0 C10·153
Benchmarkdeco/sha1/py/1K 612609	1.858 µs/op	# POLL·0 C1·0 C1E·9 C3·13 C6·46 C7s·0 C8·80 C9·0 C10·66
Benchmarkdeco/sha1/py/1K 619047	1.826 µs/op	# POLL·0 C1·1 C1E·4 C3·17 C6·41 C7s·0 C8·104 C9·0 C10·98
Benchmarkdeco/sha1/go/1K 1000000	1.528 µs/op	# POLL·1 C1·67 C1E·56 C3·21 C6·83 C7s·0 C8·120 C9·0 C10·177
Benchmarkdeco/sha1/go/1K 1000000	1.527 µs/op	# POLL·1 C1·139 C1E·71 C3·20 C6·64 C7s·0 C8·122 C9·0 C10·189
Benchmarkdeco/sha1/go/1K 1000000	1.527 µs/op	# POLL·2 C1·88 C1E·44 C3·16 C6·63 C7s·0 C8·96 C9·0 C10·181
Benchmarkdeco/sha1/go/1K 1000000	1.527 µs/op	# POLL·0 C1·85 C1E·54 C3·14 C6·64 C7s·0 C8·98 C9·0 C10·185
Benchmarkdeco/sha1/go/1K 1000000	1.527 µs/op	# POLL·1 C1·83 C1E·62 C3·16 C6·64 C7s·0 C8·134 C9·0 C10·185
Benchmarkdeco/sha1/py/4K 173102	6.669 µs/op	# POLL·0 C1·4 C1E·10 C3·16 C6·46 C7s·0 C8·87 C9·0 C10·67
Benchmarkdeco/sha1/py/4K 172540	6.718 µs/op	# POLL·0 C1·4 C1E·18 C3·13 C6·46 C7s·0 C8·105 C9·0 C10·57
Benchmarkdeco/sha1/py/4K 172945	6.679 µs/op	# POLL·0 C1·42 C1E·4 C3·24 C6·51 C7s·0 C8·104 C9·0 C10·63
Benchmarkdeco/sha1/py/4K 173381	6.660 µs/op	# POLL·0 C1·2 C1E·11 C3·12 C6·34 C7s·0 C8·83 C9·0 C10·38
Benchmarkdeco/sha1/py/4K 173064	6.669 µs/op	# POLL·0 C1·0 C1E·6 C3·7 C6·39 C7s·0 C8·84 C9·0 C10·56
Benchmarkdeco/sha1/go/4K 300000	5.585 µs/op	# POLL·0 C1·79 C1E·67 C3·12 C6·60 C7s·0 C8·118 C9·0 C10·209
